Cement (component 1)(kg in a m^3 mixture),Blast Furnace Slag (component 2)(kg in a m^3 mixture),Fly Ash (component 3)(kg in a m^3 mixture),Water  (component 4)(kg in a m^3 mixture),Superplasticizer (component 5)(kg in a m^3 mixture),Coarse Aggregate  (component 6)(kg in a m^3 mixture),Fine Aggregate (component 7)(kg in a m^3 mixture),Age (day),"Concrete compressive strength(MPa, megapascals) "
290 ,0 ,96 ,168 ,9 ,961 ,865 ,100 ,49 
277 ,0 ,97 ,161 ,12 ,974 ,876 ,3 ,23 
277 ,0 ,97 ,161 ,12 ,974 ,876 ,14 ,42 
277 ,0 ,97 ,161 ,12 ,974 ,876 ,28 ,48 
277 ,0 ,97 ,161 ,12 ,974 ,876 ,56 ,51 
277 ,0 ,97 ,161 ,12 ,974 ,876 ,100 ,56 
296 ,0 ,96 ,172 ,9 ,955 ,859 ,3 ,23 
296 ,0 ,96 ,172 ,9 ,955 ,859 ,14 ,35 
296 ,0 ,96 ,172 ,9 ,955 ,859 ,28 ,40 
296 ,0 ,96 ,172 ,9 ,955 ,859 ,56 ,49 
296 ,0 ,96 ,172 ,9 ,955 ,859 ,100 ,52 
252 ,0 ,100 ,146 ,12 ,1006 ,900 ,3 ,21 
252 ,0 ,100 ,146 ,12 ,1006 ,900 ,14 ,33 
252 ,0 ,100 ,146 ,12 ,1006 ,900 ,28 ,34 
252 ,0 ,100 ,146 ,12 ,1006 ,900 ,56 ,44 
252 ,0 ,100 ,146 ,12 ,1006 ,900 ,100 ,45 
249 ,0 ,99 ,158 ,13 ,988 ,889 ,3 ,15 
249 ,0 ,99 ,158 ,13 ,988 ,889 ,14 ,29 
249 ,0 ,99 ,158 ,13 ,988 ,889 ,28 ,31 
249 ,0 ,99 ,158 ,13 ,988 ,889 ,56 ,42 
249 ,0 ,99 ,158 ,13 ,988 ,889 ,100 ,51 
252 ,0 ,99 ,146 ,14 ,988 ,889 ,3 ,22 
252 ,0 ,99 ,146 ,14 ,988 ,889 ,14 ,42 
252 ,0 ,99 ,146 ,14 ,988 ,889 ,28 ,51 
252 ,0 ,99 ,146 ,14 ,988 ,889 ,56 ,56 
252 ,0 ,99 ,146 ,14 ,988 ,889 ,100 ,61 
247 ,0 ,125 ,143 ,12 ,1087 ,801 ,3 ,24 
247 ,0 ,125 ,143 ,12 ,1087 ,801 ,14 ,42 
247 ,0 ,125 ,143 ,12 ,1087 ,801 ,28 ,53 
247 ,0 ,125 ,143 ,12 ,1087 ,801 ,56 ,60 
247 ,0 ,125 ,143 ,12 ,1087 ,801 ,100 ,66 
275 ,0 ,121 ,160 ,10 ,1054 ,778 ,3 ,24 
275 ,0 ,121 ,160 ,10 ,1054 ,778 ,14 ,39 
275 ,0 ,121 ,160 ,10 ,1054 ,778 ,28 ,51 
275 ,0 ,121 ,160 ,10 ,1054 ,778 ,56 ,57 
275 ,0 ,121 ,160 ,10 ,1054 ,778 ,100 ,59 
297 ,0 ,118 ,175 ,10 ,1023 ,754 ,3 ,22 
297 ,0 ,118 ,175 ,10 ,1023 ,754 ,14 ,37 
297 ,0 ,118 ,175 ,10 ,1023 ,754 ,28 ,47 
297 ,0 ,118 ,175 ,10 ,1023 ,754 ,56 ,52 
297 ,0 ,118 ,175 ,10 ,1023 ,754 ,100 ,57 
214 ,0 ,175 ,155 ,10 ,1054 ,776 ,3 ,18 
214 ,0 ,175 ,155 ,10 ,1054 ,776 ,14 ,34 
214 ,0 ,175 ,155 ,10 ,1054 ,776 ,28 ,40 
214 ,0 ,175 ,155 ,10 ,1054 ,776 ,56 ,47 
214 ,0 ,175 ,155 ,10 ,1054 ,776 ,100 ,50 
214 ,0 ,174 ,155 ,12 ,1052 ,776 ,3 ,17 
214 ,0 ,174 ,155 ,12 ,1052 ,776 ,14 ,34 
214 ,0 ,174 ,155 ,12 ,1052 ,776 ,28 ,46 
214 ,0 ,174 ,155 ,12 ,1052 ,776 ,56 ,51 
214 ,0 ,174 ,155 ,12 ,1052 ,776 ,100 ,59 
277 ,98 ,25 ,161 ,11 ,1062 ,783 ,3 ,30 
277 ,98 ,25 ,161 ,11 ,1062 ,783 ,14 ,48 
277 ,98 ,25 ,161 ,11 ,1062 ,783 ,28 ,63 
277 ,98 ,25 ,161 ,11 ,1062 ,783 ,56 ,67 
277 ,98 ,25 ,161 ,11 ,1062 ,783 ,100 ,67 
218 ,55 ,124 ,141 ,12 ,1076 ,793 ,3 ,27 
218 ,55 ,124 ,141 ,12 ,1076 ,793 ,14 ,36 
218 ,55 ,124 ,141 ,12 ,1076 ,793 ,28 ,56 
218 ,55 ,124 ,141 ,12 ,1076 ,793 ,56 ,62 
218 ,55 ,124 ,141 ,12 ,1076 ,793 ,100 ,64 
215 ,54 ,122 ,156 ,10 ,1014 ,781 ,3 ,18 
215 ,54 ,122 ,156 ,10 ,1014 ,781 ,14 ,39 
215 ,54 ,122 ,156 ,10 ,1014 ,781 ,28 ,52 
215 ,54 ,122 ,156 ,10 ,1014 ,781 ,56 ,54 
215 ,54 ,122 ,156 ,10 ,1014 ,781 ,100 ,57 
219 ,0 ,124 ,159 ,11 ,1079 ,795 ,3 ,15 
219 ,0 ,124 ,159 ,11 ,1079 ,795 ,14 ,26 
219 ,0 ,124 ,159 ,11 ,1079 ,795 ,28 ,30 
219 ,0 ,124 ,159 ,11 ,1079 ,795 ,56 ,37 
219 ,0 ,124 ,159 ,11 ,1079 ,795 ,100 ,46 
376 ,0 ,0 ,215 ,0 ,1004 ,762 ,3 ,16 
376 ,0 ,0 ,215 ,0 ,1004 ,762 ,14 ,26 
376 ,0 ,0 ,215 ,0 ,1004 ,762 ,28 ,32 
376 ,0 ,0 ,215 ,0 ,1004 ,762 ,56 ,36 
376 ,0 ,0 ,215 ,0 ,1004 ,762 ,100 ,43 
500 ,0 ,0 ,140 ,4 ,966 ,853 ,28 ,68 
475 ,0 ,59 ,142 ,2 ,1098 ,641 ,28 ,57 
315 ,137 ,0 ,145 ,6 ,1130 ,745 ,28 ,82 
505 ,0 ,60 ,195 ,0 ,1030 ,630 ,28 ,64 
